cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
plate2_pbmc_plate2_015,13.696,94.68,12.834609,20612.0,0.505872,69.5522,56409,29443.0
plate2_pbmc_plate2_016,17.0954,94.72,9.284797,26839.0,0.48898,68.5324,67482,37707.0
plate2_pbmc_plate2_017,15.3051,94.71,7.114777,24100.0,0.504923,68.4942,61126,32348.0
plate2_pbmc_plate2_018,15.3304,95.06,13.561879999999999,24054.0,0.522717,67.1787,67514,33898.0
plate2_pbmc_plate2_019,12.6117,94.8,14.11391,18925.0,0.505143,68.1189,52656,27463.0
plate2_pbmc_plate2_020,12.8129,94.78,15.072529000000001,18735.0,0.507182,69.9365,53357,27418.0
plate2_pbmc_plate2_021,15.2119,94.97,8.066958999999999,23066.0,0.506452,69.6752,58573,31215.0
plate2_pbmc_plate2_022,14.422,94.91,12.756402,21564.0,0.485684,68.0726,55712,31651.0
plate2_pbmc_plate2_023,15.1786,94.83,8.284047,23261.0,0.520368,70.8816,61792,30988.0
plate2_pbmc_plate2_024,12.6903,94.87,12.860000999999999,18729.0,0.495895,68.6712,49736,27127.0
plate2_pbmc_plate2_025,15.5049,95.19,17.136704,24240.0,0.520796,67.176,71367,35721.0
plate2_pbmc_plate2_026,14.0783,94.71,7.7193130000000005,21554.0,0.4997,69.3989,54005,29327.0
plate2_pbmc_plate2_027,16.9688,94.93,5.3769160000000005,30251.0,0.49356099999999997,57.3897,71972,40482.0
plate2_pbmc_plate2_028,16.9981,94.98,3.8131230000000005,30800.0,0.5005850000000001,56.3802,73094,40156.0
plate2_pbmc_plate2_029,14.8988,94.86,11.634158,23014.0,0.490303,67.9869,59101,33130.0
plate2_pbmc_plate2_030,15.1319,94.9,5.761881,22685.0,0.51774,72.6009,57597,29509.0
plate2_pbmc_plate2_031,13.8558,94.75,16.293184,21516.0,0.510307,68.1275,61708,31816.0
plate2_pbmc_plate2_032,15.4197,94.47,5.339935,24853.0,0.5108159999999999,68.0956,61749,32475.0
plate2_pbmc_plate2_033,11.9417,94.95,18.560845,16818.0,0.522994,71.6793,50721,25147.0
plate2_pbmc_plate2_034,16.3308,94.86,14.420635999999998,25281.0,0.515491,68.2628,70808,36319.0
plate2_pbmc_plate2_035,15.3171,95.43,17.003269,24123.0,0.517809,68.2642,69706,35627.0
plate2_pbmc_plate2_036,16.1336,94.72,13.904314000000001,24186.0,0.483289,70.6981,63631,36098.0
plate2_pbmc_plate2_037,15.2105,94.68,14.681935000000001,22948.0,0.50567,69.9855,63492,33498.0
plate2_pbmc_plate2_038,13.4909,94.82,7.351542,20454.0,0.506516,70.0118,52995,27464.0
plate2_pbmc_plate2_039,14.7829,94.83,7.768698,26748.0,0.496371,57.9032,66890,36581.0
plate2_pbmc_plate2_040,13.9344,95.03,15.044571,20967.0,0.52178,68.4542,59675,30098.0
plate2_pbmc_plate2_041,12.0589,94.95,18.340241,17338.0,0.500129,69.4683,49707,26643.0
plate2_pbmc_plate2_042,14.6857,94.71,15.758239999999999,22287.0,0.520447,69.7365,65350,32320.0
plate2_pbmc_plate2_043,13.8931,94.66,5.2389410000000005,20801.0,0.49429799999999996,71.7849,50717,27768.0
plate2_pbmc_plate2_044,14.699000000000002,94.89,14.323728,22538.0,0.522057,68.3038,64348,32072.0
plate2_pbmc_plate2_045,14.6564,94.8,9.006526,22449.0,0.515894,69.0203,59352,30315.0
plate2_pbmc_plate2_046,12.7476,95.01,15.207270000000001,18941.0,0.491741,68.5782,50765,28358.0
plate2_pbmc_plate2_047,13.327,94.81,16.004451,20379.0,0.517433,68.7412,59288,29754.0
plate2_pbmc_plate2_048,13.7559,94.86,17.749902,20982.0,0.5056109999999999,66.7895,60761,31774.0
plate2_pbmc_plate2_049,14.5125,95.15,19.337748,21924.0,0.5219,68.933,66541,33143.0
plate2_pbmc_plate2_050,13.0113,94.78,18.117517000000003,19217.0,0.500681,68.7481,54962,29427.0
plate2_pbmc_plate2_051,11.5568,94.27,9.405411,16105.0,0.43144499999999997,70.8725,36261,24817.0
plate2_pbmc_plate2_052,16.1563,94.87,10.976221,24859.0,0.5035649999999999,69.9882,64967,34876.0
plate2_pbmc_plate2_053,12.2454,94.78,9.666382,19008.0,0.502471,67.8167,49057,26321.0
plate2_pbmc_plate2_054,13.3643,94.75,8.499169,20369.0,0.494642,66.5918,50723,28146.0
plate2_pbmc_plate2_055,18.5286,94.89,5.48219,37361.0,0.504879,52.8145,91022,49283.0
plate2_pbmc_plate2_056,13.5348,94.76,14.949368,21585.0,0.5048189999999999,66.1925,60637,31644.0
