cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
NextGEM_pbmc_cell_276,5.0599,97.2,0.237229,6308.0,0.699891,60.5251,22732,6597
NextGEM_pbmc_cell_277,17.1882,97.46,0.0,29353.0,0.6190100000000001,67.4922,84059,32388
NextGEM_pbmc_cell_278,16.4016,97.59,0.0,24112.0,0.714462,71.1409,91384,24974
NextGEM_pbmc_cell_279,4.1821,97.86,0.35617,4756.0,0.614925,65.441,13289,5282
NextGEM_pbmc_cell_27,8.6245,98.2,0.464787,9851.0,0.629631,68.2783,28491,10826
NextGEM_pbmc_cell_280,7.3143,97.96,0.0,8618.0,0.716588,65.5895,32467,8917
NextGEM_pbmc_cell_281,13.4197,97.46,0.124713,20021.0,0.704179,68.7743,74044,20868
NextGEM_pbmc_cell_282,7.1177,97.2,0.083752,11930.0,0.631151,46.4405,34971,13040
NextGEM_pbmc_cell_283,19.9343,98.03,0.019766,30349.0,0.689764,61.1728,104671,31851
NextGEM_pbmc_cell_284,13.1001,97.29,0.045794,28375.0,0.5245609999999999,47.5148,64782,34604
NextGEM_pbmc_cell_285,8.6491,98.03,0.8438030000000001,10576.0,0.705009,64.9822,38587,11099
NextGEM_pbmc_cell_286,16.7125,97.4,0.128064,27295.0,0.6707069999999999,69.1987,90119,29008
NextGEM_pbmc_cell_287,13.2809,97.54,0.244981,18731.0,0.602485,67.2711,51176,21024
NextGEM_pbmc_cell_288,7.2594,98.15,0.0,8462.0,0.64074,65.4751,25099,9175
NextGEM_pbmc_cell_289,15.0914,97.58,0.164197,24929.0,0.723997,70.9491,98900,25750
NextGEM_pbmc_cell_28,2.9789,96.05,0.178208,3921.0,0.320768,46.5249,6470,6984
NextGEM_pbmc_cell_290,13.0235,97.48,0.28362,18634.0,0.699145,71.8066,66969,19505
NextGEM_pbmc_cell_291,6.0649,96.67,0.047818,8361.0,0.45280299999999996,57.9139,16899,11289
NextGEM_pbmc_cell_292,10.9079,97.73,0.0,14607.0,0.598554,59.9267,39135,16413
NextGEM_pbmc_cell_293,15.1796,97.35,0.0,23611.0,0.629777,66.8057,69362,25809
NextGEM_pbmc_cell_294,11.0713,97.66,0.0,15293.0,0.546188,64.9872,36392,18150
NextGEM_pbmc_cell_295,15.9301,97.46,0.021922999999999998,27362.0,0.689131,62.7412,95752,28727
NextGEM_pbmc_cell_296,4.6983,98.2,0.364683,5191.0,0.628415,67.0825,14826,5703
NextGEM_pbmc_cell_297,14.4826,97.36,0.0,22114.0,0.760583,66.8604,100893,22491
NextGEM_pbmc_cell_298,31.9788,96.89,1.930925,118947.0,0.651776,31.9872,381225,130423
NextGEM_pbmc_cell_299,10.5695,97.46,0.018104,16568.0,0.528456,54.4505,37959,20093
NextGEM_pbmc_cell_29,6.0432,97.71,0.0,6444.0,0.685275,72.9438,21965,6779
NextGEM_pbmc_cell_2,10.8543,97.67,0.0,14762.0,0.6288060000000001,60.5948,43011,16154
NextGEM_pbmc_cell_300,13.2982,97.45,0.060728,21394.0,0.622078,67.6134,61418,23557
NextGEM_pbmc_cell_301,15.1275,97.47,0.03495,22882.0,0.570447,67.8113,58127,26452
NextGEM_pbmc_cell_302,4.6564,98.1,0.0,5181.0,0.737711,66.87899999999999,21094,5311
NextGEM_pbmc_cell_303,9.2492,97.8,0.971284,11725.0,0.590113,63.3446,31255,13410
NextGEM_pbmc_cell_304,12.110999999999999,97.74,0.0,15675.0,0.6311329999999999,71.8724,46106,17120
NextGEM_pbmc_cell_305,16.3625,97.55,0.0,27896.0,0.680868,60.7166,96111,29427
NextGEM_pbmc_cell_306,11.9028,97.8,0.096554,16555.0,0.739568,60.8473,68496,16977
NextGEM_pbmc_cell_307,14.7516,97.66,0.0,23806.0,0.695388,64.3955,84202,24901
NextGEM_pbmc_cell_308,15.7045,97.66,0.0,25975.0,0.6995819999999999,71.2339,93344,27107
NextGEM_pbmc_cell_309,16.9814,97.25,0.0,29349.0,0.659287,71.6634,93645,31386
NextGEM_pbmc_cell_30,13.8955,97.62,0.0,21158.0,0.5817829999999999,57.6638,55738,24165
NextGEM_pbmc_cell_310,12.3496,97.21,0.163106,18363.0,0.574128,65.7424,47111,21167
NextGEM_pbmc_cell_311,12.8384,97.43,0.209473,23343.0,0.639079,51.7698,70700,25394
NextGEM_pbmc_cell_312,5.5443,96.89,6.535767,10139.0,0.667045,51.3459,37231,11543
NextGEM_pbmc_cell_313,10.409,97.9,0.059334000000000005,13475.0,0.655686,63.1314,41815,14457
NextGEM_pbmc_cell_314,11.7524,97.21,0.0,18330.0,0.68938,71.2084,64221,19238
NextGEM_pbmc_cell_315,4.989,97.98,0.265856,5252.0,0.654031,71.0881,16265,5654
NextGEM_pbmc_cell_316,12.3612,97.56,0.0,16395.0,0.6506350000000001,70.5246,50696,17643
NextGEM_pbmc_cell_317,4.0028,91.19,0.0,4211.0,0.51475,69.3066,10339,5199
NextGEM_pbmc_cell_318,16.2916,97.47,0.460193,30282.0,0.81438,65.5825,177043,30569
NextGEM_pbmc_cell_319,8.4206,97.85,0.22960999999999998,9994.0,0.715272,68.5035,37559,10371
NextGEM_pbmc_cell_31,11.1797,98.09,0.0,13941.0,0.749681,66.5232,59585,14231
NextGEM_pbmc_cell_320,6.8299,97.85,1.0489899999999999,8867.0,0.782922,61.7509,44260,9058
NextGEM_pbmc_cell_321,14.3467,97.88,0.005196,19245.0,0.79873,67.2192,102324,19388
NextGEM_pbmc_cell_322,18.6661,98.01,0.0,28843.0,0.695083,60.4878,101419,30174
NextGEM_pbmc_cell_323,15.7118,97.24,0.027658999999999996,28916.0,0.700797,63.5735,105500,30168
NextGEM_pbmc_cell_324,20.6675,97.79,0.070609,46703.0,0.7705569999999999,46.2844,221589,47393
NextGEM_pbmc_cell_325,11.4487,97.58,0.0,14960.0,0.53484,60.3844,34792,18003
NextGEM_pbmc_cell_326,7.6151,98.1,0.0,9023.0,0.5818810000000001,64.8953,23048,10305
NextGEM_pbmc_cell_327,11.7336,97.27,0.0,16278.0,0.680761,68.8967,55288,17172
NextGEM_pbmc_cell_328,17.1853,97.54,0.259425,29604.0,0.704331,64.6693,108376,30899
NextGEM_pbmc_cell_329,12.8442,97.96,0.0,18047.0,0.645679,62.243,54430,19493
NextGEM_pbmc_cell_32,15.1883,97.32,0.0,26501.0,0.681926,67.3333,91026,27937
NextGEM_pbmc_cell_330,13.6858,97.65,0.0,18836.0,0.682286,71.881,64005,19854
NextGEM_pbmc_cell_331,6.1517,97.64,0.433463,6891.0,0.729056,72.4245,27460,7121
NextGEM_pbmc_cell_332,11.1233,97.4,0.0,15894.0,0.71949,73.8392,61414,16424
NextGEM_pbmc_cell_333,11.9114,97.35,0.03717,16136.0,0.541603,72.7543,38187,19263
NextGEM_pbmc_cell_334,15.6496,97.28,0.011618,25818.0,0.589967,65.0556,68315,29249
NextGEM_pbmc_cell_335,10.6418,97.43,0.0,13356.0,0.681271,71.8553,45400,14086
NextGEM_pbmc_cell_336,15.9648,97.59,0.0,24572.0,0.640571,66.4842,74174,26647
NextGEM_pbmc_cell_337,12.7719,97.59,0.0,18878.0,0.5682659999999999,68.8897,47670,21872
NextGEM_pbmc_cell_338,5.3216,97.77,0.086896,5749.0,0.680511,70.438,19414,6071
NextGEM_pbmc_cell_339,7.0887,97.23,0.23749699999999999,14282.0,0.589117,44.9602,39840,16230
NextGEM_pbmc_cell_33,17.9547,97.49,0.0,31677.0,0.732313,67.2712,130416,32550
NextGEM_pbmc_cell_340,8.1993,97.77,0.0,9630.0,0.701071,68.4995,34294,10043
NextGEM_pbmc_cell_341,7.9463,97.63,0.0,8883.0,0.700475,75.9259,31832,9266
NextGEM_pbmc_cell_342,14.4681,97.66,0.0,21334.0,0.607961,70.6525,59048,23770
NextGEM_pbmc_cell_343,10.9946,97.69,0.213772,15404.0,0.6566270000000001,70.3926,48459,16542
NextGEM_pbmc_cell_344,11.3692,97.57,0.0,14316.0,0.683701,65.54899999999999,48834,15074
NextGEM_pbmc_cell_345,17.7884,97.42,0.0,31951.0,0.740312,68.411,133024,32727
NextGEM_pbmc_cell_346,7.4503,98.1,0.072159,8309.0,0.685383,70.5893,28164,8748
NextGEM_pbmc_cell_347,5.0266,96.77,0.149142,5356.0,0.526274,69.5843,12227,6521
NextGEM_pbmc_cell_348,22.9061,97.63,0.028044,39213.0,0.626196,58.9142,113286,43022
NextGEM_pbmc_cell_349,8.3541,97.53,0.12033699999999999,9960.0,0.46568100000000007,67.4689,20171,13209
NextGEM_pbmc_cell_34,17.3704,97.34,0.0,27398.0,0.6452829999999999,67.7203,84034,29612
NextGEM_pbmc_cell_350,4.9933,97.58,1.153181,5143.0,0.49095,73.6018,11106,6638
NextGEM_pbmc_cell_351,15.6221,97.41,0.282659,24342.0,0.657956,66.0645,79547,26138
NextGEM_pbmc_cell_352,14.9829,97.36,0.29091500000000003,23992.0,0.6645479999999999,68.2425,77966,25649
NextGEM_pbmc_cell_353,16.6402,97.41,0.133434,27692.0,0.654045,64.6958,86687,29776
NextGEM_pbmc_cell_354,1.7252,95.78,0.0,2184.0,0.261164,46.8407,3272,4631
NextGEM_pbmc_cell_355,11.6439,97.48,0.338159,16799.0,0.6919649999999999,74.3237,59357,17665
NextGEM_pbmc_cell_356,15.2374,98.01,0.04622,23788.0,0.660722,56.2545,74936,25432
NextGEM_pbmc_cell_357,13.3127,97.74,0.481146,17788.0,0.6857479999999999,65.1169,60738,18801
NextGEM_pbmc_cell_358,3.2682,97.66,0.088836,3374.0,0.48308599999999996,68.9221,7001,4353
NextGEM_pbmc_cell_359,17.2012,97.32,0.692291,31702.0,0.571446,62.527,81906,36855
NextGEM_pbmc_cell_35,13.1594,97.6,0.0,20293.0,0.728892,63.3075,80542,20884
NextGEM_pbmc_cell_360,13.748,97.48,0.0,18464.0,0.518741,71.5609,41869,22668
NextGEM_pbmc_cell_361,7.9217,98.06,0.0,9638.0,0.5502779999999999,63.592,22990,11385
