cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
v1_pbmc_v1_cell_386,13.9215,97.74,1.488378,15554.0,0.684245,63.5347,53880,16621
v1_pbmc_v1_cell_387,4.5959,97.73,0.182577,3827.0,0.580571,68.3099,9913,4382
v1_pbmc_v1_cell_388,9.6301,97.97,0.5967180000000001,9995.0,0.729741,59.6967,39965,10343
v1_pbmc_v1_cell_389,4.5829,97.63,0.0,3997.0,0.644964,64.7861,12103,4319
v1_pbmc_v1_cell_38,18.6195,97.67,0.0,23892.0,0.665247,61.102,76900,25454
v1_pbmc_v1_cell_390,13.0951,98.05,0.205092,14111.0,0.712759,68.3946,52533,14658
v1_pbmc_v1_cell_391,10.176,97.81,0.086898,10348.0,0.659936,60.1622,32626,11074
v1_pbmc_v1_cell_392,11.9457,97.62,0.0,13699.0,0.576878,61.8038,34895,15728
v1_pbmc_v1_cell_393,6.6943,97.74,0.0,6592.0,0.566601,60.2397,16362,7649
v1_pbmc_v1_cell_394,19.8303,97.7,0.149078,25452.0,0.6166050000000001,60.5924,71747,28187
v1_pbmc_v1_cell_395,19.0782,97.53,0.0,24398.0,0.665483,65.0791,78646,25993
v1_pbmc_v1_cell_396,5.2719,97.16,0.7765310000000001,4600.0,0.61078,68.3456,12877,5152
v1_pbmc_v1_cell_397,4.6665,95.94,0.024802,4031.0,0.7378239999999999,67.5719,16676,4133
v1_pbmc_v1_cell_398,19.873,97.78,0.415749,23953.0,0.664953,68.7066,76972,25630
v1_pbmc_v1_cell_399,12.4137,97.77,0.0,12892.0,0.6845140000000001,65.5484,43859,13570
v1_pbmc_v1_cell_39,3.7139,95.35,0.0,4111.0,0.581705,51.2406,10860,4695
v1_pbmc_v1_cell_3,18.2185,97.76,0.486968,21457.0,0.767058,72.273,99564,21886
v1_pbmc_v1_cell_400,10.7294,97.65,0.0,10186.0,0.589142,72.7715,26567,11548
v1_pbmc_v1_cell_401,6.477,97.89,0.740858,6297.0,0.544351,57.7948,14932,7548
v1_pbmc_v1_cell_402,14.811,97.58,0.094106,20171.0,0.633229,57.4789,59432,22020
v1_pbmc_v1_cell_403,14.6754,97.53,0.005215,19173.0,0.579785,53.3352,49107,21948
v1_pbmc_v1_cell_404,4.7798,97.33,0.0,4239.0,0.44216300000000003,63.1399,8201,5830
v1_pbmc_v1_cell_405,8.5661,96.85,0.0,8072.0,0.761649,65.6653,36685,8207
v1_pbmc_v1_cell_406,16.1702,97.64,0.0,16926.0,0.7029850000000001,73.1596,61087,17634
v1_pbmc_v1_cell_407,8.4194,97.89,0.0,7725.0,0.713921,67.7799,28851,8003
v1_pbmc_v1_cell_408,13.6485,97.83,0.020621,14545.0,0.555868,64.5621,35212,17084
v1_pbmc_v1_cell_409,4.7185,97.36,0.0,4637.0,0.640821,58.5724,13940,5026
v1_pbmc_v1_cell_40,23.1932,97.96,0.012659,31595.0,0.692832,54.1647,110094,33103
v1_pbmc_v1_cell_410,7.4278,97.9,0.0,7459.0,0.658017,59.6125,23323,7987
v1_pbmc_v1_cell_411,14.277999999999999,97.65,0.0,15479.0,0.60555,66.1638,42322,17275
v1_pbmc_v1_cell_412,6.711,97.77,0.0,6470.0,0.676532,60.6414,21363,6842
v1_pbmc_v1_cell_413,15.5407,97.71,0.0,17838.0,0.648221,62.7116,54682,19228
v1_pbmc_v1_cell_41,11.7284,97.89,0.140493,12794.0,0.654868,60.9234,39784,13750
v1_pbmc_v1_cell_42,15.2622,97.92,0.0,18012.0,0.67574,63.5549,59253,19062
v1_pbmc_v1_cell_43,11.8046,96.8,0.0,12468.0,0.448245,67.0998,24815,16968
v1_pbmc_v1_cell_44,15.9994,97.62,0.412145,19089.0,0.6631819999999999,70.6412,61161,20452
v1_pbmc_v1_cell_45,9.2476,97.75,0.8744860000000001,9635.0,0.60705,59.6193,26606,10833
v1_pbmc_v1_cell_46,5.8512,97.49,0.11033499999999999,5432.0,0.522982,61.0243,12295,6633
v1_pbmc_v1_cell_47,13.1397,97.71,0.06168200000000001,14582.0,0.72012,69.865,56035,15072
v1_pbmc_v1_cell_48,15.7246,97.7,0.13581600000000002,17647.0,0.649267,66.0489,54097,19040
v1_pbmc_v1_cell_49,14.499,97.5,0.037639,15935.0,0.724619,73.6027,62705,16434
v1_pbmc_v1_cell_4,12.7126,97.35,0.013669,14630.0,0.593013,65.097,38919,16525
v1_pbmc_v1_cell_50,1.4466,93.88,0.299625,1331.0,0.32061100000000003,49.4757,2245,2373
v1_pbmc_v1_cell_51,5.7565,97.7,1.421801,5200.0,0.5227109999999999,62.9384,11820,6443
v1_pbmc_v1_cell_52,30.9348,95.13,0.201781,184481.0,0.5362779999999999,13.8306,450180,222071
v1_pbmc_v1_cell_53,4.2505,96.66,0.232438,3863.0,0.533044,58.5486,9076,4661
v1_pbmc_v1_cell_54,19.0875,97.79,0.0,24193.0,0.669639,63.475,78793,25704
v1_pbmc_v1_cell_55,11.2438,97.58,0.0,12614.0,0.513274,57.6264,27885,15595
v1_pbmc_v1_cell_56,14.3003,97.85,0.024564,16280.0,0.6470819999999999,67.8212,49292,17572
v1_pbmc_v1_cell_57,9.2513,97.99,0.0,9197.0,0.6496109999999999,61.0851,28109,9906
v1_pbmc_v1_cell_58,19.7151,97.03,0.04697,38304.0,0.716838,39.0794,146527,39647
v1_pbmc_v1_cell_59,3.2329,97.57,0.0,2716.0,0.516898,66.053,6090,3344
v1_pbmc_v1_cell_5,16.9929,97.82,0.0,19867.0,0.675916,66.17,65554,21021
v1_pbmc_v1_cell_60,6.0221,98.01,0.0,5882.0,0.5181060000000001,58.3475,13094,7226
v1_pbmc_v1_cell_61,10.4063,98.08,0.0,10671.0,0.624908,61.133,30458,11713
v1_pbmc_v1_cell_62,7.45,98.03,1.311165,7301.0,0.646215,60.5704,22364,7987
v1_pbmc_v1_cell_63,5.9701,97.97,0.017228999999999998,5803.0,0.517419,58.8301,12837,7135
v1_pbmc_v1_cell_64,4.1076,96.11,1.14974,3611.0,0.670782,64.2759,12111,3877
v1_pbmc_v1_cell_65,10.9801,97.78,0.0,11378.0,0.637793,62.3044,33812,12362
v1_pbmc_v1_cell_66,9.267999999999999,98.01,0.0,9994.0,0.593641,54.1025,26402,11282
v1_pbmc_v1_cell_67,1.4651,97.58,0.634921,1252.0,0.254438,60.754,1817,2746
v1_pbmc_v1_cell_68,19.4459,97.58,0.020881,23940.0,0.640606,65.9825,71721,25963
v1_pbmc_v1_cell_69,5.5188,97.75,0.13116,5330.0,0.640654,59.5747,15872,5786
v1_pbmc_v1_cell_6,4.8559,97.95,0.0,4505.0,0.555194,62.1643,10839,5293
v1_pbmc_v1_cell_70,4.5681,97.46,0.024582,4067.0,0.718224,64.1101,15417,4206
v1_pbmc_v1_cell_71,7.4073,97.8,0.0,7320.0,0.684197,60.1844,24764,7706
v1_pbmc_v1_cell_72,5.8048,97.77,1.839223,4750.0,0.693229,76.6171,16882,5067
v1_pbmc_v1_cell_73,17.3531,97.66,0.091451,27312.0,0.667809,46.5614,89266,29072
v1_pbmc_v1_cell_74,6.308,97.95,0.0,6791.0,0.619786,53.1291,19125,7489
v1_pbmc_v1_cell_75,6.3247,97.49,0.169952,5874.0,0.6867880000000001,62.8484,20264,6185
v1_pbmc_v1_cell_76,15.3161,97.15,0.0,19299.0,0.630768,61.4643,56288,21088
v1_pbmc_v1_cell_77,7.1065,96.74,0.0,8190.0,0.603159,51.5934,23082,9162
v1_pbmc_v1_cell_78,9.1213,97.15,0.22547899999999998,8850.0,0.545175,65.9865,21150,10533
v1_pbmc_v1_cell_79,10.1445,98.13,0.0,10372.0,0.587118,59.4437,26722,11787
v1_pbmc_v1_cell_7,11.5502,97.95,0.470367,11638.0,0.792916,70.2557,60740,11793
v1_pbmc_v1_cell_80,11.6449,97.73,0.327006,12497.0,0.677529,62.9965,42050,13252
v1_pbmc_v1_cell_81,18.5546,97.87,0.0,22628.0,0.634608,64.8467,66526,24658
v1_pbmc_v1_cell_82,13.37,97.89,0.111607,15215.0,0.684435,60.3663,51782,16033
v1_pbmc_v1_cell_83,11.0172,97.9,0.0,11614.0,0.676138,62.2525,38332,12288
v1_pbmc_v1_cell_84,18.1535,97.59,0.0,20703.0,0.691005,66.1112,72204,21709
v1_pbmc_v1_cell_85,14.4637,97.73,0.43829700000000005,17491.0,0.681566,66.0918,59574,18526
v1_pbmc_v1_cell_86,15.9196,97.04,0.575308,19183.0,0.6638270000000001,70.8873,62585,20577
v1_pbmc_v1_cell_87,5.4371,97.5,0.732528,5014.0,0.580238,62.5223,12989,5777
v1_pbmc_v1_cell_88,18.6548,97.67,0.0,24580.0,0.627655,57.6688,70907,26931
v1_pbmc_v1_cell_89,4.1633,97.15,0.0,3802.0,0.551492,60.4682,9160,4486
v1_pbmc_v1_cell_8,6.295,97.83,0.0,6814.0,0.6727810000000001,54.7769,22398,7223
v1_pbmc_v1_cell_90,14.4451,97.91,0.0,18703.0,0.66367,52.8044,59428,19946
v1_pbmc_v1_cell_91,13.2326,97.69,0.0,14371.0,0.646757,63.4159,43636,15510
v1_pbmc_v1_cell_92,14.6253,97.51,0.0,16115.0,0.658037,65.8362,50685,17251
v1_pbmc_v1_cell_93,7.4686,97.65,0.567295,7011.0,0.6029399999999999,69.8412,19145,7894
v1_pbmc_v1_cell_94,23.4866,98.08,0.033661,32668.0,0.6761020000000001,53.9643,107500,34577
v1_pbmc_v1_cell_95,7.1362,97.41,0.0,6685.0,0.757306,65.8489,29713,6806
v1_pbmc_v1_cell_96,13.7005,97.8,0.0,14745.0,0.646369,66.7141,44681,15923
v1_pbmc_v1_cell_97,15.575999999999999,97.58,0.38311999999999996,17941.0,0.649037,68.1982,55682,19408
v1_pbmc_v1_cell_98,9.541,98.06,0.0,10221.0,0.63439,57.376999999999995,30002,11138
v1_pbmc_v1_cell_99,13.084000000000001,96.91,0.095172,15746.0,0.588228,57.0237,41689,17888
v1_pbmc_v1_cell_9,8.308,97.72,0.012177,8211.0,0.702172,62.5548,29615,8558
